Store_Dept_Date,Weekly_Sales
1_83_2012-11-02,5636.9841
1_85_2012-11-02,3092.2942
1_87_2012-11-02,59498.6344
1_90_2012-11-02,90216.1505
1_91_2012-11-02,62821.2908
1_92_2012-11-02,100000
1_93_2012-11-02,76840.2483
1_94_2012-11-02,60640.8763
1_95_2012-11-02,100000
1_96_2012-11-02,32829.5747
1_97_2012-11-02,34206.3607
1_98_2012-11-02,13021.5608
1_99_2012-11-02,131.3052
1_1_2012-11-09,20624.577
1_2_2012-11-09,47878.9038
1_3_2012-11-09,10933.1991
1_4_2012-11-09,37746.4213
1_5_2012-11-09,37467.911
1_6_2012-11-09,3767.5146
1_7_2012-11-09,26459.8748
1_8_2012-11-09,36068.175
1_9_2012-11-09,35409.0688
1_10_2012-11-09,32462.6879
1_11_2012-11-09,24045.9267
1_12_2012-11-09,10339.3813
1_13_2012-11-09,40714.571
1_14_2012-11-09,17733.3184
1_16_2012-11-09,6387.9791
1_17_2012-11-09,8499.9716
1_18_2012-11-09,12075.9952
1_19_2012-11-09,974.8507
1_20_2012-11-09,3448.6015
1_21_2012-11-09,8271.0417
1_22_2012-11-09,8069.6443
1_23_2012-11-09,21963.1997
1_24_2012-11-09,6399.2187
1_25_2012-11-09,9940.7937
1_26_2012-11-09,7660.9735
1_27_2012-11-09,1767.6548
1_28_2012-11-09,718.0822
1_29_2012-11-09,4569.6487
1_30_2012-11-09,2489.2716
1_31_2012-11-09,1560.1092
1_32_2012-11-09,6556.662
1_33_2012-11-09,6394.9041
1_34_2012-11-09,11432.0477
1_35_2012-11-09,2501.1256
1_36_2012-11-09,1371.5331
1_37_2012-11-09,2993.2531
1_38_2012-11-09,81192.9319
1_40_2012-11-09,61132.0178
1_41_2012-11-09,1069.0091
1_42_2012-11-09,8261.7346
1_44_2012-11-09,6124.9523
1_46_2012-11-09,18099.4395
1_48_2012-11-09,2128.2429
1_49_2012-11-09,9673.9639
1_52_2012-11-09,2148.0549
1_55_2012-11-09,22283.3958
1_56_2012-11-09,1177.1499
1_58_2012-11-09,3722.3782
1_59_2012-11-09,748.5142
1_60_2012-11-09,1174.856
1_67_2012-11-09,6101.8989
1_71_2012-11-09,2489.9532
1_72_2012-11-09,46308.7587
1_74_2012-11-09,9699.8948
1_79_2012-11-09,41048.6768
1_80_2012-11-09,19434.0492
1_81_2012-11-09,31258.929
1_82_2012-11-09,20184.3341
1_83_2012-11-09,6319.3313
1_85_2012-11-09,2968.8232
1_87_2012-11-09,56376.324
1_90_2012-11-09,92679.7708
1_91_2012-11-09,71821.2275
1_92_2012-11-09,100000
1_93_2012-11-09,82822.8839
1_94_2012-11-09,61213.6355
1_95_2012-11-09,100000
1_96_2012-11-09,33244.9017
1_97_2012-11-09,36963.7326
1_98_2012-11-09,13256.187
1_99_2012-11-09,69.803
1_1_2012-11-16,20095.2871
1_2_2012-11-16,44310.7624
1_3_2012-11-16,11060.851
1_4_2012-11-16,38208.4116
1_5_2012-11-16,29409.5952
1_6_2012-11-16,3424.7679
1_7_2012-11-16,26358.3968
1_8_2012-11-16,36184.3913
1_9_2012-11-16,35469.1412
1_10_2012-11-16,32172.5817
1_11_2012-11-16,26687.2925
1_12_2012-11-16,8831.5171
1_13_2012-11-16,38039.2397
1_14_2012-11-16,18256.8709
1_16_2012-11-16,5957.881
1_17_2012-11-16,9399.2314
1_18_2012-11-16,12957.4966
1_19_2012-11-16,964.271
1_20_2012-11-16,3532.3134
1_21_2012-11-16,8251.4236
1_22_2012-11-16,7491.6374
1_23_2012-11-16,23490.6794
1_24_2012-11-16,6409.137
1_25_2012-11-16,10530.4615
1_26_2012-11-16,7462.3029
1_27_2012-11-16,1805.1509
1_28_2012-11-16,731.9503
1_29_2012-11-16,5533.1738
1_30_2012-11-16,2304.3375
1_31_2012-11-16,1600.4257
1_32_2012-11-16,6005.2174
1_33_2012-11-16,5858.4571
1_34_2012-11-16,12384.544
1_35_2012-11-16,2571.4776
1_36_2012-11-16,2031.1138
1_37_2012-11-16,2671.3528
1_38_2012-11-16,76851.6492
1_40_2012-11-16,60190.819
1_41_2012-11-16,1190.6468
1_42_2012-11-16,7712.3775
1_44_2012-11-16,5901.1186
1_46_2012-11-16,17945.6093
1_48_2012-11-16,2350.9892
1_49_2012-11-16,9856.9436
1_52_2012-11-16,1999.585
1_54_2012-11-16,37.689
1_55_2012-11-16,19779.0896
1_56_2012-11-16,962.1022
1_58_2012-11-16,3720.6391
1_59_2012-11-16,774.4892
1_60_2012-11-16,898.946
1_67_2012-11-16,6688.9355
1_71_2012-11-16,2523.2905
1_72_2012-11-16,43970.7524
1_74_2012-11-16,9660.9111
1_79_2012-11-16,32381.1558
1_80_2012-11-16,19142.2581
1_81_2012-11-16,30651.6127
1_82_2012-11-16,20327.4994
1_83_2012-11-16,5716.736
1_85_2012-11-16,3180.6632
1_87_2012-11-16,48136.4354
1_90_2012-11-16,93764.6078
1_91_2012-11-16,68198.2
1_92_2012-11-16,100000
1_93_2012-11-16,82803.295
1_94_2012-11-16,61696.3464
1_95_2012-11-16,100000
1_96_2012-11-16,31546.8118
1_97_2012-11-16,36864.6507
1_98_2012-11-16,14187.3174
1_1_2012-11-23,22703.2098
1_2_2012-11-23,46390.8907
1_3_2012-11-23,9928.2227
1_4_2012-11-23,44385.3919
1_5_2012-11-23,70778.3776
1_6_2012-11-23,20706.2985
1_7_2012-11-23,79557.2429
1_8_2012-11-23,36651.6011
1_9_2012-11-23,40999.4093
1_10_2012-11-23,30921.3453
1_11_2012-11-23,28612.4653
1_12_2012-11-23,9041.9095
1_13_2012-11-23,38163.8354
1_14_2012-11-23,53434.5547
1_16_2012-11-23,8307.7471
1_17_2012-11-23,12597.2348
1_18_2012-11-23,27631.0124
1_19_2012-11-23,1075.4156
1_20_2012-11-23,5294.8757
1_21_2012-11-23,9697.537
1_22_2012-11-23,17088.5339
1_23_2012-11-23,32258.8046
1_24_2012-11-23,14111.183
1_25_2012-11-23,12143.3965
1_26_2012-11-23,9443.0721
1_27_2012-11-23,2165.6137
1_28_2012-11-23,848.8335
1_29_2012-11-23,5718.7866
1_30_2012-11-23,2713.7942
1_31_2012-11-23,1604.5898
1_32_2012-11-23,9990.2157
1_33_2012-11-23,11470.2479
1_34_2012-11-23,14932.9115
1_35_2012-11-23,2825.6232
1_36_2012-11-23,2783.1672
1_37_2012-11-23,2730.7447
1_38_2012-11-23,62833.7616
1_40_2012-11-23,59599.9571
1_41_2012-11-23,2694.3402
1_42_2012-11-23,7613.8892
1_44_2012-11-23,7352.4296
1_46_2012-11-23,18581.6553
1_48_2012-11-23,3338.8797
1_49_2012-11-23,9096.1397
1_52_2012-11-23,3499.9616
1_54_2012-11-23,51.936
1_55_2012-11-23,42336.8159
1_56_2012-11-23,1503.8395
1_58_2012-11-23,3852.6
1_59_2012-11-23,1203.9096
1_60_2012-11-23,947.52
1_67_2012-11-23,6645.6826
1_71_2012-11-23,4641.022
1_72_2012-11-23,96798.0732
1_74_2012-11-23,18390.3248
1_79_2012-11-23,31811.6532
1_80_2012-11-23,18416.2947
1_81_2012-11-23,30785.5705
1_82_2012-11-23,21509.5702
1_83_2012-11-23,5295.4836
1_85_2012-11-23,3850.7218
1_87_2012-11-23,47880.6352
1_90_2012-11-23,93813.7804
1_91_2012-11-23,61361.9979
1_92_2012-11-23,100000
1_93_2012-11-23,82996.5817
1_94_2012-11-23,67361.6044
1_95_2012-11-23,100000
1_96_2012-11-23,39973.7026
1_97_2012-11-23,34009.884
1_98_2012-11-23,18760.4139
1_99_2012-11-23,2680.6948
1_1_2012-11-30,37286.445
1_2_2012-11-30,46481.9495
1_3_2012-11-30,10195.6214
1_4_2012-11-30,42277.9199
1_5_2012-11-30,50436.3561
1_6_2012-11-30,7727.4066
1_7_2012-11-30,50669.627
1_8_2012-11-30,36364.7596
1_9_2012-11-30,40264.3521
1_10_2012-11-30,30247.8184
1_11_2012-11-30,27386.87
1_12_2012-11-30,8042.8972
1_13_2012-11-30,37387.0664
1_14_2012-11-30,37653.631
1_16_2012-11-30,7117.3878
1_17_2012-11-30,11406.5835
1_18_2012-11-30,21759.353
1_19_2012-11-30,1116.9836
1_20_2012-11-30,4645.7417
1_21_2012-11-30,9241.9946
1_22_2012-11-30,11693.3288
1_23_2012-11-30,27534.1525
1_24_2012-11-30,9447.1251
1_25_2012-11-30,11023.232
1_26_2012-11-30,6852.5556
1_27_2012-11-30,1862.8885
1_28_2012-11-30,883.3359
1_29_2012-11-30,5560.0089
1_30_2012-11-30,2686.702
1_31_2012-11-30,1550.924
1_32_2012-11-30,7932.7942
1_33_2012-11-30,7725.5361
1_34_2012-11-30,13719.1846
1_35_2012-11-30,2668.383
1_36_2012-11-30,2259.3369
1_37_2012-11-30,2459.5991
1_38_2012-11-30,67860.7258
1_40_2012-11-30,59006.9094
1_41_2012-11-30,2203.655
1_42_2012-11-30,7429.9079
1_44_2012-11-30,6648.2605
1_45_2012-11-30,27.8772
1_46_2012-11-30,17778.6861
1_48_2012-11-30,2763.2193
1_49_2012-11-30,9726.0375
1_52_2012-11-30,2602.067
1_54_2012-11-30,53.3778
1_55_2012-11-30,26604.4395
1_56_2012-11-30,915.4565
1_58_2012-11-30,3727.7
1_59_2012-11-30,1487.7564
1_60_2012-11-30,969.064
1_67_2012-11-30,6854.4912
1_71_2012-11-30,3086.8867
1_72_2012-11-30,54699.9999
1_74_2012-11-30,10009.3524
1_79_2012-11-30,29360.2914
1_80_2012-11-30,17962.43
1_81_2012-11-30,30059.9893
1_82_2012-11-30,19952.7751
1_83_2012-11-30,5016.0595
1_85_2012-11-30,3951.312
1_87_2012-11-30,48026.3785
1_90_2012-11-30,89183.0876
1_91_2012-11-30,58775.2134
1_92_2012-11-30,100000
1_93_2012-11-30,74993.782
1_94_2012-11-30,67977.4495
1_95_2012-11-30,99715.2232
1_96_2012-11-30,36208.5013
1_97_2012-11-30,32738.1629
1_98_2012-11-30,15912.7592
1_99_2012-11-30,2855.25
1_1_2012-12-07,57653.1155
1_2_2012-12-07,48625.1946
1_3_2012-12-07,13331.1573
1_4_2012-12-07,41243.5479
1_5_2012-12-07,51999.4656
1_6_2012-12-07,12361.1191
1_7_2012-12-07,57384.4446
1_8_2012-12-07,53625.7188
1_9_2012-12-07,39179.4014
1_10_2012-12-07,31681.6737
1_11_2012-12-07,30475.1137
1_12_2012-12-07,10815.6547
1_13_2012-12-07,40530.1548
1_14_2012-12-07,40140.9712
1_16_2012-12-07,8851.5661
1_17_2012-12-07,19051.4
1_18_2012-12-07,72374.2155
1_19_2012-12-07,1394.8837
1_20_2012-12-07,4731.7552
1_21_2012-12-07,9746.2343
1_22_2012-12-07,10413.4793
1_23_2012-12-07,46971.235
1_24_2012-12-07,13154.2691
1_25_2012-12-07,11880.2545
1_26_2012-12-07,8445.6304
1_27_2012-12-07,5160.505
1_28_2012-12-07,719.3233
1_29_2012-12-07,10496.5139
1_30_2012-12-07,2422.4172
1_31_2012-12-07,4418.3419
1_32_2012-12-07,22780.7697
1_33_2012-12-07,18132.6861
1_34_2012-12-07,13456.472
1_35_2012-12-07,2779.1115
1_36_2012-12-07,1864.2549
1_37_2012-12-07,2793.642
1_38_2012-12-07,83455.4348
1_40_2012-12-07,61845.3232
1_41_2012-12-07,1530.3252
1_42_2012-12-07,7401.282
1_44_2012-12-07,7095.3245
1_45_2012-12-07,21.0993
1_46_2012-12-07,39434.0217
1_48_2012-12-07,1819.58
1_49_2012-12-07,10141.9169
1_52_2012-12-07,2967.9167
1_54_2012-12-07,71.829
1_55_2012-12-07,23551.8338
1_56_2012-12-07,1695.614
1_58_2012-12-07,4099.0473
1_59_2012-12-07,6238.3405
1_60_2012-12-07,1977.5359
1_67_2012-12-07,10404.5303
1_71_2012-12-07,2701.9277
1_72_2012-12-07,57765.7242
1_74_2012-12-07,10294.6775
1_79_2012-12-07,42387.3048
1_80_2012-12-07,20598.3788
1_81_2012-12-07,33110.8246
1_82_2012-12-07,45638.4236
1_83_2012-12-07,6115.7553
1_85_2012-12-07,5568.1212
1_87_2012-12-07,59391.0913
1_90_2012-12-07,94830.2119
1_91_2012-12-07,70582.486
1_92_2012-12-07,100000
1_93_2012-12-07,85076.9313
1_94_2012-12-07,61030.2395
1_95_2012-12-07,100000
1_96_2012-12-07,34591.8434
1_97_2012-12-07,38453.7027
1_98_2012-12-07,13840.3876
1_99_2012-12-07,1575.8326
1_1_2012-12-14,42462.0211
1_2_2012-12-14,48091.8726
1_3_2012-12-14,12158.6127
1_4_2012-12-14,38467.1145
1_5_2012-12-14,43633.6401
1_6_2012-12-14,7663.28
1_7_2012-12-14,64078.8543
1_8_2012-12-14,37465.0306
1_9_2012-12-14,28644.2965
1_10_2012-12-14,30282.4663
1_11_2012-12-14,30596.1081
1_12_2012-12-14,7742.2477
1_13_2012-12-14,36697.9874
1_14_2012-12-14,23384.7707
1_16_2012-12-14,5200.966
1_17_2012-12-14,10929.7726
1_18_2012-12-14,33774.9489
1_19_2012-12-14,1397.4185
1_20_2012-12-14,3424.0022
1_21_2012-12-14,9508.8966
1_22_2012-12-14,10636.1339
1_23_2012-12-14,34545.0553
1_24_2012-12-14,10724.8514
1_25_2012-12-14,11407.2363
1_26_2012-12-14,8230.2603
1_27_2012-12-14,2992.1068
1_28_2012-12-14,802.0386
1_29_2012-12-14,7017.2047
1_30_2012-12-14,2348.3118
1_31_2012-12-14,3665.1477
1_32_2012-12-14,14974.6147
1_33_2012-12-14,10274.3527
1_34_2012-12-14,13633.3783
1_35_2012-12-14,2770.3189
1_36_2012-12-14,2575.1258
1_37_2012-12-14,2436.5647
1_38_2012-12-14,76905.4946
1_40_2012-12-14,61134.5627
1_41_2012-12-14,1504.3321
1_42_2012-12-14,6767.3764
1_44_2012-12-14,6863.0276
1_46_2012-12-14,28948.137
1_48_2012-12-14,1832.99
1_49_2012-12-14,9757.1317
1_52_2012-12-14,2959.4126
1_54_2012-12-14,54.845
1_55_2012-12-14,21491.2717
1_56_2012-12-14,1358.1747
1_58_2012-12-14,4261.5297
1_59_2012-12-14,3635.7144
1_60_2012-12-14,1461.774
1_67_2012-12-14,8915.1302
1_71_2012-12-14,2764.4886
1_72_2012-12-14,57939.3646
1_74_2012-12-14,9661.9412
1_79_2012-12-14,32905.1311
1_80_2012-12-14,19290.2422
1_81_2012-12-14,31271.8435
1_82_2012-12-14,29909.7743
1_83_2012-12-14,5830.4306
1_85_2012-12-14,5549.6386
1_87_2012-12-14,47460.0899
1_90_2012-12-14,93923.8161
1_91_2012-12-14,67762.0841
1_92_2012-12-14,100000
1_93_2012-12-14,79083.889
1_94_2012-12-14,56855.5795
1_95_2012-12-14,100000
1_96_2012-12-14,31838.4818
1_97_2012-12-14,36882.6723
1_98_2012-12-14,14653.8339
1_99_2012-12-14,1005.9142
1_1_2012-12-21,61090.0539
1_2_2012-12-21,54606.2263
1_3_2012-12-21,11807.4192
1_4_2012-12-21,42034.472
1_5_2012-12-21,65395.4966
1_6_2012-12-21,16610.9136
1_7_2012-12-21,88241.8777
1_8_2012-12-21,49052.7204
1_9_2012-12-21,37430.9018
1_10_2012-12-21,30103.2496
1_11_2012-12-21,29296.6606
1_12_2012-12-21,9913.9159
1_13_2012-12-21,37186.3533
1_14_2012-12-21,44476.8936
1_16_2012-12-21,6768.0304
1_17_2012-12-21,19988.6216
1_18_2012-12-21,44429.1984
1_19_2012-12-21,1882.6417
1_20_2012-12-21,4928.2538
1_21_2012-12-21,11053.1037
1_22_2012-12-21,13493.7363
1_23_2012-12-21,53977.0216
1_24_2012-12-21,14018.2196
1_25_2012-12-21,13070.0376
1_26_2012-12-21,9237.2669
1_27_2012-12-21,5933.8849
1_28_2012-12-21,860.0182
1_29_2012-12-21,11213.7017
1_30_2012-12-21,2224.6887
1_31_2012-12-21,5701.0837
1_32_2012-12-21,44910.7795
1_33_2012-12-21,18275.3731
1_34_2012-12-21,13863.4784
1_35_2012-12-21,2977.0202
1_36_2012-12-21,3221.1659
1_37_2012-12-21,2772.7929
1_38_2012-12-21,70945.6972
1_40_2012-12-21,61132.3758
1_41_2012-12-21,2292.0587
1_42_2012-12-21,7214.3659
1_44_2012-12-21,7331.7554
1_46_2012-12-21,47337.2753
1_47_2012-12-21,-47.3171
1_48_2012-12-21,2639.6422
1_49_2012-12-21,9673.1805
1_52_2012-12-21,3013.2241
1_54_2012-12-21,93.7048
1_55_2012-12-21,24424.158
1_56_2012-12-21,975.5747
1_58_2012-12-21,4077.3994
1_59_2012-12-21,9305.6814
1_60_2012-12-21,1418.032
1_67_2012-12-21,14113.289
1_71_2012-12-21,3229.4346
1_72_2012-12-21,68877.0071
1_74_2012-12-21,13187.426
1_79_2012-12-21,31854.7663
1_80_2012-12-21,19654.8889
1_81_2012-12-21,30974.8873
1_82_2012-12-21,51488.5188
1_83_2012-12-21,5598.2493
1_85_2012-12-21,6978.3663
1_87_2012-12-21,48816.8459
1_90_2012-12-21,90405.3298
1_91_2012-12-21,63190.6551
1_92_2012-12-21,100000
1_93_2012-12-21,81268.492
1_94_2012-12-21,67560.3407
1_95_2012-12-21,100000
1_96_2012-12-21,35433.9717
1_97_2012-12-21,37216.5226
1_98_2012-12-21,16422.0772
1_99_2012-12-21,1539.4461
1_1_2012-12-28,21841.9089
1_2_2012-12-28,49126.5923
1_3_2012-12-28,11034.0475
1_4_2012-12-28,41193.029
1_5_2012-12-28,59392.5297
1_6_2012-12-28,16005.9466
1_7_2012-12-28,47930.0669
1_8_2012-12-28,38108.6617
1_9_2012-12-28,33410.6012
1_10_2012-12-28,32088.7532
1_11_2012-12-28,26536.9647
1_12_2012-12-28,8030.9989
1_13_2012-12-28,36502.7486
1_14_2012-12-28,36457.9273
1_16_2012-12-28,5129.5463
1_17_2012-12-28,11817.1783
1_18_2012-12-28,18720.8852
1_19_2012-12-28,1652.5261
1_20_2012-12-28,4689.0285
1_21_2012-12-28,8488.6622
1_22_2012-12-28,13865.8175
1_23_2012-12-28,26235.8196
1_24_2012-12-28,14278.4826
1_25_2012-12-28,11401.0441
1_26_2012-12-28,9832.4169
1_27_2012-12-28,2104.5889
1_28_2012-12-28,751.6366
1_29_2012-12-28,7420.0645
1_30_2012-12-28,2342.6929
1_31_2012-12-28,2224.5926
1_32_2012-12-28,14120.6034
1_33_2012-12-28,6664.9081
1_34_2012-12-28,12030.4418
1_35_2012-12-28,2788.1482
1_36_2012-12-28,2744.1629
1_37_2012-12-28,2668.274
1_38_2012-12-28,67610.1973
1_40_2012-12-28,59266.1992
1_41_2012-12-28,2198.2211
1_42_2012-12-28,7097.6489
1_44_2012-12-28,6271.1909
1_46_2012-12-28,26593.5165
1_48_2012-12-28,2630.5812
1_49_2012-12-28,11505.4368
1_52_2012-12-28,2918.8267
1_54_2012-12-28,85.8302
1_55_2012-12-28,37417.213
1_56_2012-12-28,799.0618
1_58_2012-12-28,3836.0594
1_59_2012-12-28,5164.6541
1_60_2012-12-28,713.24
1_67_2012-12-28,8762.8555
1_71_2012-12-28,4031.6738
1_72_2012-12-28,79107.5189
1_74_2012-12-28,13822.0282
1_79_2012-12-28,28907.6113
1_80_2012-12-28,17980.1899
1_81_2012-12-28,29023.542
1_82_2012-12-28,34438.1956
1_83_2012-12-28,5020.038
1_85_2012-12-28,4939.7503
1_87_2012-12-28,48505.7994
1_90_2012-12-28,85635.4572
1_91_2012-12-28,54936.6403
1_92_2012-12-28,100000
1_93_2012-12-28,59133.3703
1_94_2012-12-28,53054.9041
1_95_2012-12-28,96508.3668
1_96_2012-12-28,36000.5375
1_97_2012-12-28,33749.8588
1_98_2012-12-28,14772.9292
1_99_2012-12-28,463.6709
1_1_2013-01-04,17325.0685
1_2_2013-01-04,46256.3074
1_3_2013-01-04,12561.0087
1_4_2013-01-04,38172.9897
1_5_2013-01-04,23983.2459
1_6_2013-01-04,2569.9457
1_7_2013-01-04,11982.8554
1_8_2013-01-04,38322.9288
1_9_2013-01-04,17798.4478
1_10_2013-01-04,26531.605
1_11_2013-01-04,23925.0717
1_12_2013-01-04,7865.9697
1_13_2013-01-04,39865.5169
1_14_2013-01-04,14368.9286
1_16_2013-01-04,5871.0159
1_17_2013-01-04,8711.7593
1_18_2013-01-04,6894.8819
1_19_2013-01-04,825.3348
1_20_2013-01-04,3608.0544
1_21_2013-01-04,7617.5278
1_22_2013-01-04,8605.5819
1_23_2013-01-04,17599.4655
1_24_2013-01-04,5942.7201
1_25_2013-01-04,6618.9912
1_26_2013-01-04,4399.1055
1_27_2013-01-04,1902.4603
1_28_2013-01-04,719.6002
1_29_2013-01-04,4822.1654
1_30_2013-01-04,2558.4852
1_31_2013-01-04,3110.9592
1_32_2013-01-04,4205.497
1_33_2013-01-04,3868.557
1_34_2013-01-04,8850.9654
1_35_2013-01-04,2012.6522
1_36_2013-01-04,1075.7759
1_37_2013-01-04,3207.9587
1_38_2013-01-04,88748.5509
1_40_2013-01-04,64661.3634
1_41_2013-01-04,484.4519
1_42_2013-01-04,7647.9061
1_44_2013-01-04,4284.1289
1_46_2013-01-04,15995.0471
1_48_2013-01-04,736.39
1_49_2013-01-04,10558.3995
1_52_2013-01-04,1813.6892
1_54_2013-01-04,39.8796
1_55_2013-01-04,11966.5302
1_56_2013-01-04,899.4489
1_58_2013-01-04,2644.0091
1_59_2013-01-04,454.7323
1_60_2013-01-04,1255.108
1_67_2013-01-04,8153.9945
1_71_2013-01-04,2696.7406
1_72_2013-01-04,40783.3118
1_74_2013-01-04,12252.4698
1_79_2013-01-04,42748.6204
1_80_2013-01-04,17765.5502
1_81_2013-01-04,30756.946
1_82_2013-01-04,20432.7889
1_83_2013-01-04,6192.9017
1_85_2013-01-04,3168.555
1_87_2013-01-04,61554.0137
1_90_2013-01-04,87951.5624
1_91_2013-01-04,67908.403
1_92_2013-01-04,100000
1_93_2013-01-04,76026.2358
1_94_2013-01-04,66385.5981
1_95_2013-01-04,99789.5348
1_96_2013-01-04,30317.3481
1_97_2013-01-04,35657.7159
1_98_2013-01-04,11873.0798
1_1_2013-01-11,17054.4286
1_2_2013-01-11,45314.4029
1_3_2013-01-11,13060.678
1_4_2013-01-11,35863.2462
1_5_2013-01-11,21578.3209
1_6_2013-01-11,2878.6106
1_7_2013-01-11,10431.9312
1_8_2013-01-11,36191.4793
1_9_2013-01-11,17268.9951
1_10_2013-01-11,26410.797
1_11_2013-01-11,23432.585
1_12_2013-01-11,7987.3959
1_13_2013-01-11,38355.1464
1_14_2013-01-11,15199.2273
1_16_2013-01-11,7626.3939
1_17_2013-01-11,8812.9463
1_18_2013-01-11,3939.3576
1_19_2013-01-11,819.2153
1_20_2013-01-11,3957.4514
1_21_2013-01-11,7467.2257
1_22_2013-01-11,8377.2641
1_23_2013-01-11,16330.5037
1_24_2013-01-11,4155.5778
1_25_2013-01-11,6346.9574
1_26_2013-01-11,4333.9195
1_27_2013-01-11,1718.9359
1_28_2013-01-11,658.5211
1_29_2013-01-11,4490.5936
1_30_2013-01-11,2467.1946
1_31_2013-01-11,2034.9781
1_32_2013-01-11,4856.1623
1_33_2013-01-11,3610.7427
1_34_2013-01-11,8883.5402
1_35_2013-01-11,2041.4862
1_36_2013-01-11,763.4528
1_37_2013-01-11,2815.5329
1_38_2013-01-11,78982.1717
1_40_2013-01-11,63209.6458
1_41_2013-01-11,464.939
1_42_2013-01-11,7747.5189
1_44_2013-01-11,4199.2459
1_46_2013-01-11,16825.6395
1_48_2013-01-11,1096.1899
1_49_2013-01-11,11574.2987
1_52_2013-01-11,1700.8812
1_55_2013-01-11,11495.2218
1_56_2013-01-11,1047.0323
1_58_2013-01-11,2460.1337
1_59_2013-01-11,249.4965
1_60_2013-01-11,1221.03
1_67_2013-01-11,7712.6461
1_71_2013-01-11,2481.6077
1_72_2013-01-11,38743.6485
1_74_2013-01-11,12585.5361
1_79_2013-01-11,35504.2728
1_80_2013-01-11,18348.2267
1_81_2013-01-11,30847.6816
1_82_2013-01-11,19075.6192
1_83_2013-01-11,6537.0526
1_85_2013-01-11,3086.0849
1_87_2013-01-11,47377.295
1_90_2013-01-11,90445.4525
1_91_2013-01-11,71130.2766
1_92_2013-01-11,100000
1_93_2013-01-11,80168.3976
1_94_2013-01-11,63925.1524
1_95_2013-01-11,100000
1_96_2013-01-11,29867.8014
1_97_2013-01-11,36812.9818
1_98_2013-01-11,11892.1333
1_1_2013-01-18,18398.2207
1_2_2013-01-18,43328.4486
1_3_2013-01-18,12536.7373
1_4_2013-01-18,35104.2281
1_5_2013-01-18,20479.5954
1_6_2013-01-18,2523.9744
1_7_2013-01-18,10532.769
1_8_2013-01-18,35699.002
1_9_2013-01-18,15042.7831
1_10_2013-01-18,24866.0073
1_11_2013-01-18,21086.0687
1_12_2013-01-18,7869.2621
1_13_2013-01-18,37859.2569
1_14_2013-01-18,13595.0956
1_16_2013-01-18,5591.7783
1_17_2013-01-18,8368.5553
1_18_2013-01-18,8619.9598
1_19_2013-01-18,1012.6905
1_20_2013-01-18,3630.4014
1_21_2013-01-18,7225.2218
1_22_2013-01-18,7686.4198
1_23_2013-01-18,15646.3239
1_24_2013-01-18,4959.6721
1_25_2013-01-18,6309.5343
1_26_2013-01-18,4522.9318
1_27_2013-01-18,1768.2278
1_28_2013-01-18,772.4733
1_29_2013-01-18,5072.196
1_30_2013-01-18,2565.481
1_31_2013-01-18,2785.7979
1_32_2013-01-18,4710.2657
1_33_2013-01-18,3604.9905
1_34_2013-01-18,8129.7825
1_35_2013-01-18,1912.2522
1_36_2013-01-18,596.007
1_37_2013-01-18,2681.3706
1_38_2013-01-18,77415.4468
1_40_2013-01-18,61479.9086
1_41_2013-01-18,401.0245
1_42_2013-01-18,7402.718
1_44_2013-01-18,4276.8928
1_45_2013-01-18,18.8809
1_46_2013-01-18,15931.9849
1_48_2013-01-18,763.833
